구분,총계,방범,"어린이 보호구역",공원·놀이터,"쓰레기 무단투기",시설안전·화재예방,교통단속,교통정보수집·분석,기타다른법령,
총 계,"77,032","53,181","8,065","6,243","1,260","2,067","5,487",71,658,
종로구,"1,772","1,390",39,116,0,110,117,0,0,
중구,"2,333",1476,75,193,62,62,298,8,159,
용산구,"2,383","1,740",164,154,0,0,252,0,73,
성동구,"3,602","2,343",571,181,141,12,354,0,0,
광진구,"2,588","2,011",301,126,71,5,74,0,0,
동대문구,"2,497","1,850",282,180,28,1,142,0,14,
중랑구,"3,296","2,873",144,141,11,61,66,0,0,
성북구,"3,958","2,625",425,194,379,107,208,20,0,
강북구,"2,462","1,831",319,187,0,32,93,0,0,
도봉구,"1,629",873,210,263,119,77,87,0,0,
노원구,"2,415","1,322",260,436,126,127,144,0,0,
은평구,"3,791","2,397",692,439,0,138,125,0,0,
서대문구,"2,940","1,847",132,521,0,91,317,0,32,
마포구,"2,421","1,950",192,158,0,0,121,0,0,
양천구,"3,312","2,103",768,265,0,0,133,43,0,
강서구,"2,560","2,067",219,156,27,0,91,0,0,
구로구,"4,075","2,500",540,385,30,119,257,0,244,
금천구,"2,374","1,767",271,174,44,0,118,0,0,
영등포,"3,778","2,759",264,175,53,7,520,0,0,
동작구,"2,297","1,621",395,137,19,72,43,0,10,
관악구,"4,942","2,956",259,281,150,658,638,0,0,
서초구,"3,704","2,663",214,172,0,202,327,0,126,
강남구,"6,502","4,509",782,505,0,110,596,0,0,
송파구,"2,854","1,624",315,545,0,76,294,0,0,
강동구,"2,547","2,084",232,159,0,0,72,0,0,
