기간	자치구	도로연장	도로면적	도로율
2021	종로구	276	2.7	21.44
2021	중구	114	1.88	18.82
2021	용산구	281	3.15	22.19
2021	성동구	408	3.02	23.09
2021	광진구	325	3.44	28.83
2021	동대문구	328	3.15	22.16
2021	중랑구	331	2.86	26.01
2021	성북구	633	4.23	23.59
2021	강북구	228	1.98	20.93
2021	도봉구	258	2.35	19.02
2021	노원구	293	3.7	23.71
2021	은평구	359	3.52	22.08
2021	서대문구	311	2.74	17.25
2021	마포구	422	4.11	28.61
2021	양천구	412	3.7	27.88
2021	강서구	409	4.97	26.99
2021	구로구	297	3.23	22.06
2021	금천구	191	2.26	21.38
2021	영등포구	397	4.57	24.23
2021	동작구	250	2.75	17.29
2021	관악구	322	3.03	25.41
2021	서초구	391	5.56	26.35
2021	강남구	442	5.8	24.06
2021	송파구	366	4.78	20.68
2021	강동구	286	3.38	24.32
