기간	자치구	구분	합계	계	시내버스	시외·고속버스	전세버스	택시	화물	렌터카	기타	계	승용차	버스	어린이통학버스	기타	이륜차	자전거	기타불명
2020	합계	발생건수	35,227	9,392	1,225	134	87	4,757	864	2,024	301	18,126	15,378	183	60	2,505	5,089	1,802	818
2020	합계	사망자수	219	65	6	7	3	21	10	7	11	89	59	4	-	26	51	14	-
2020	합계	부상자수	47,513	13,033	1,563	197	133	6,708	1,121	2,920	391	25,138	21,473	239	84	3,342	6,437	2,018	887
2020	종로구	발생건수	903	295	54	3	4	152	27	49	6	425	364	6	-	55	136	20	27
2020	종로구	사망자수	5	-	-	-	-	-	-	-	-	3	2	1	-	-	1	1	-
2020	종로구	부상자수	1,224	407	70	5	4	228	31	62	7	606	511	8	-	87	161	23	27
2020	중구	발생건수	955	347	55	6	4	180	42	59	1	411	333	6	1	71	153	20	24
2020	중구	사망자수	6	2	1	-	-	1	-	-	-	2	2	-	-	-	2	-	-
2020	중구	부상자수	1,248	455	67	7	6	247	48	79	1	549	452	6	5	86	197	21	26
2020	용산구	발생건수	890	282	28	1	5	155	22	65	6	463	409	2	4	48	99	18	28
2020	용산구	사망자수	12	5	-	-	-	-	3	1	1	4	4	-	-	-	3	-	-
2020	용산구	부상자수	1,178	361	32	1	5	211	19	85	8	641	572	2	9	58	126	22	28
2020	성동구	발생건수	1,119	268	22	-	3	143	29	57	14	550	462	5	3	80	163	93	45
2020	성동구	사망자수	9	3	-	-	-	1	-	2	-	3	2	-	-	1	2	1	-
2020	성동구	부상자수	1,481	369	24	-	3	208	37	76	21	763	650	7	4	102	201	102	46
2020	광진구	발생건수	869	250	15	2	2	147	23	56	5	401	354	6	1	40	157	45	16
2020	광진구	사망자수	4	1	-	-	-	-	1	-	-	2	1	-	-	1	1	-	-
2020	광진구	부상자수	1,145	359	16	2	12	207	30	86	6	543	482	8	1	52	179	48	16
2020	동대문구	발생건수	1,448	343	45	4	2	182	39	61	10	677	528	1	1	147	301	114	13
2020	동대문구	사망자수	10	3	1	-	-	1	-	1	-	4	3	-	-	1	3	-	-
2020	동대문구	부상자수	1,845	421	49	5	2	229	46	80	10	905	712	1	1	191	379	126	14
2020	중랑구	발생건수	1,447	316	44	1	1	184	28	54	4	732	576	7	-	149	244	114	41
2020	중랑구	사망자수	4	1	-	-	-	1	-	-	-	2	1	-	-	1	-	1	-
2020	중랑구	부상자수	1,952	433	47	1	1	261	36	83	4	1,027	826	10	-	191	325	125	42
2020	성북구	발생건수	1,275	352	51	-	1	189	34	62	15	673	555	9	3	106	193	40	17
2020	성북구	사망자수	7	2	-	-	-	1	-	-	1	2	1	-	-	1	3	-	-
2020	성북구	부상자수	1,622	467	70	-	2	250	44	86	15	867	725	10	5	127	227	44	17
2020	강북구	발생건수	1,087	295	62	1	-	151	19	53	9	526	418	4	2	102	214	38	14
2020	강북구	사망자수	3	-	-	-	-	-	-	-	-	2	2	-	-	-	1	-	-
2020	강북구	부상자수	1,420	395	77	1	-	206	29	71	11	692	556	5	2	129	276	43	14
2020	도봉구	발생건수	741	162	42	1	1	73	9	31	5	382	310	4	1	67	130	57	10
2020	도봉구	사망자수	7	1	-	-	-	1	-	-	-	4	2	-	-	2	1	1	-
2020	도봉구	부상자수	990	253	89	1	1	96	17	42	7	500	401	4	1	94	167	60	10
2020	노원구	발생건수	1,462	322	32	8	5	162	35	69	11	793	667	10	6	110	191	112	44
2020	노원구	사망자수	5	1	-	-	-	1	-	-	-	3	3	-	-	-	1	-	-
2020	노원구	부상자수	2,016	463	45	10	5	233	46	106	18	1,146	968	10	13	155	241	121	45
2020	은평구	발생건수	953	244	38	6	2	132	15	42	9	488	422	5	2	59	153	43	25
2020	은평구	사망자수	14	6	-	2	1	1	-	-	2	3	2	-	-	1	4	1	-
2020	은평구	부상자수	1,415	363	51	8	1	198	18	78	9	738	614	7	2	115	239	46	29
2020	서대문구	발생건수	928	276	47	6	2	133	18	58	12	429	365	6	2	56	157	38	28
2020	서대문구	사망자수	6	2	-	1	-	-	-	-	1	3	3	-	-	-	-	1	-
2020	서대문구	부상자수	1,256	394	54	10	2	202	23	88	15	594	506	7	3	78	200	39	29
2020	마포구	발생건수	1,272	388	39	5	5	227	29	73	10	592	517	5	3	67	187	51	54
2020	마포구	사망자수	13	5	1	-	1	2	1	-	-	6	4	1	-	1	2	-	-
2020	마포구	부상자수	1,754	543	46	10	4	314	32	121	16	858	766	6	3	83	233	59	61
2020	양천구	발생건수	1,344	325	37	3	3	170	34	67	11	781	667	8	4	102	139	75	24
2020	양천구	사망자수	7	2	-	-	-	-	-	-	2	2	2	-	-	-	2	1	-
2020	양천구	부상자수	1,829	446	41	3	6	237	41	104	14	1,083	930	14	4	135	178	93	29
2020	강서구	발생건수	1,575	421	61	9	6	201	42	89	13	813	675	7	2	129	236	73	32
2020	강서구	사망자수	17	7	2	1	1	1	1	1	-	7	4	-	-	3	3	-	-
2020	강서구	부상자수	2,131	601	90	11	9	282	58	128	23	1,123	946	8	2	167	292	79	36
2020	구로구	발생건수	1,325	331	69	4	1	156	30	63	8	735	612	17	1	105	190	58	11
2020	구로구	사망자수	10	2	-	1	-	-	-	-	1	3	2	-	-	1	5	-	-
2020	구로구	부상자수	1,810	471	85	5	1	236	40	95	9	1,029	861	19	1	148	232	65	13
2020	금천구	발생건수	810	210	49	1	1	69	30	51	9	434	351	11	-	72	112	36	18
2020	금천구	사망자수	6	2	-	-	-	1	1	-	-	3	3	-	-	-	-	1	-
2020	금천구	부상자수	1,084	304	65	2	3	96	49	78	11	578	470	15	-	93	142	42	18
2020	영등포구	발생건수	2,208	583	62	11	3	303	58	124	22	1,068	899	7	1	161	302	210	45
2020	영등포구	사망자수	7	2	1	1	-	-	-	-	-	2	-	-	-	2	2	1	-
2020	영등포구	부상자수	3,102	850	79	20	3	446	77	196	29	1,557	1,315	8	1	233	410	238	47
2020	동작구	발생건수	1,307	323	70	2	2	151	39	50	9	651	541	8	5	97	248	67	18
2020	동작구	사망자수	10	4	-	-	-	2	1	-	1	4	2	-	-	2	2	-	-
2020	동작구	부상자수	1,819	436	93	2	2	206	50	73	10	963	817	13	6	127	317	81	22
2020	관악구	발생건수	1,444	400	60	1	3	208	37	79	12	749	628	5	2	114	243	44	8
2020	관악구	사망자수	13	3	-	-	-	2	1	-	-	8	6	-	-	2	1	1	-
2020	관악구	부상자수	1,819	487	67	1	4	254	40	106	15	964	821	7	2	134	315	43	10
2020	서초구	발생건수	2,250	613	74	27	9	266	58	162	17	1,304	1,158	12	4	130	213	60	60
2020	서초구	사망자수	9	6	-	1	-	3	1	1	-	2	1	-	-	1	-	1	-
2020	서초구	부상자수	3,075	896	102	54	21	373	92	229	25	1,797	1,607	15	6	169	249	64	69
2020	강남구	발생건수	3,752	1,120	61	17	10	593	70	337	32	2,005	1,844	13	2	146	428	99	100
2020	강남구	사망자수	17	4	-	-	-	2	-	1	1	6	3	-	-	3	7	-	-
2020	강남구	부상자수	5,189	1,580	73	21	13	870	88	476	39	2,859	2,641	17	2	199	526	117	107
2020	송파구	발생건수	2,595	624	55	12	9	301	65	155	27	1,330	1,136	13	7	174	362	198	81
2020	송파구	사망자수	11	-	-	-	-	-	-	-	-	8	3	2	-	3	3	-	-
2020	송파구	부상자수	3,509	886	72	13	13	443	81	225	39	1,847	1,587	14	7	239	448	233	95
2020	강동구	발생건수	1,268	302	53	3	3	129	32	58	24	714	587	6	3	118	138	79	35
2020	강동구	사망자수	7	1	-	-	-	-	-	-	1	1	1	-	-	-	2	3	-
2020	강동구	부상자수	1,600	393	59	4	10	175	49	67	29	909	737	18	4	150	177	84	37
